Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
555078.txt,0.4496,0.8231597222222188,0.5568,0.7473309608540926,0.603448275862069,0.2743682310469314,0.5468421052631587,0.5432692307692307,0.796875,0.8235294117647058,0.5625,0.4583333333333333,0.5377777777777778,0.0304,0.024,0.0064,0.0128,0.0032,0.0224,0.0368,0.0032,0.0176,0.0016,0.0224,0.0096,0.0912,0.0176,0.0064,0.0112,0.0464,0.0432,0.0224,0.008,0.0128,0.0,0.0656,0.0144,0.0704,0.0336,0.10096153846153846,0.3232,0.3504
558848.txt,0.6305220883534136,0.8578999999999987,0.5983935742971888,0.7452229299363057,0.785234899328859,0.4,0.5380392156862743,0.7435897435897436,0.8857142857142857,0.8148148148148148,0.75,0.35294117647058826,0.6736842105263158,0.05622489959839357,0.04417670682730924,0.012048192771084338,0.008032128514056224,0.004016064257028112,0.040160642570281124,0.012048192771084338,0.004016064257028112,0.0,0.008032128514056224,0.020080321285140562,0.008032128514056224,0.05622489959839357,0.004016064257028112,0.004016064257028112,0.0,0.0642570281124498,0.0321285140562249,0.008032128514056224,0.008032128514056224,0.012048192771084338,0.008032128514056224,0.06827309236947791,0.020080321285140562,0.08032128514056225,0.0321285140562249,0.10256410256410256,0.20080321285140562,0.2289156626506024
566266.txt,0.44707207207207206,0.8530631704410017,0.6272522522522522,0.8261964735516373,0.5888689407540395,0.21148036253776434,0.47226950354610003,0.5746478873239437,0.7285714285714285,0.6203703703703703,0.7741935483870968,0.5555555555555556,0.5761772853185596,0.039414414414414414,0.03265765765765766,0.006756756756756757,0.00563063063063063,0.0,0.03490990990990991,0.00563063063063063,0.0045045045045045045,0.006756756756756757,0.010135135135135136,0.015765765765765764,0.0022522522522522522,0.06981981981981981,0.009009009009009009,0.00563063063063063,0.0033783783783783786,0.05067567567567568,0.03490990990990991,0.01463963963963964,0.0033783783783783786,0.007882882882882882,0.0,0.059684684684684686,0.010135135135135136,0.06644144144144144,0.010135135135135136,0.02535211267605634,0.38063063063063063,0.38738738738738737
575873.txt,0.4888888888888889,0.7604524886877835,0.5222222222222223,0.7348484848484849,0.6879432624113475,0.2868217054263566,0.4430000000000006,0.7272727272727273,0.6666666666666666,0.7,0.65,0.17073170731707318,0.5172413793103449,0.05555555555555555,0.040740740740740744,0.014814814814814815,0.003703703703703704,0.0,0.04814814814814815,0.011111111111111112,0.0,0.0,0.0,0.014814814814814815,0.0,0.06296296296296296,0.037037037037037035,0.003703703703703704,0.03333333333333333,0.05925925925925926,0.02962962962962963,0.003703703703703704,0.0,0.014814814814814815,0.0,0.05925925925925926,0.014814814814814815,0.05925925925925926,0.037037037037037035,0.18181818181818182,0.2518518518518518,0.2851851851851852
593846.txt,0.5317919075144508,0.8444680851063815,0.6551059730250481,0.7898550724637681,0.6411764705882353,0.3407821229050279,0.5575384615384613,0.603448275862069,0.8936170212765957,0.6981132075471698,0.9,0.6153846153846154,0.6074380165289256,0.04046242774566474,0.03275529865125241,0.007707129094412331,0.0038535645472061657,0.0,0.036608863198458574,0.011560693641618497,0.0019267822736030828,0.0038535645472061657,0.005780346820809248,0.01348747591522158,0.0019267822736030828,0.06165703275529865,0.011560693641618497,0.005780346820809248,0.005780346820809248,0.04431599229287091,0.028901734104046242,0.009633911368015413,0.0019267822736030828,0.0038535645472061657,0.0019267822736030828,0.05394990366088632,0.009633911368015413,0.05973025048169557,0.01348747591522158,0.03017241379310345,0.35067437379576105,0.3603082851637765
594117.txt,0.5521885521885522,0.8361290322580638,0.5723905723905723,0.7621951219512195,0.7352941176470589,0.33070866141732286,0.5056410256410253,0.6470588235294118,0.8809523809523809,0.8064516129032258,0.8571428571428571,0.25806451612903225,0.5495495495495496,0.05387205387205387,0.050505050505050504,0.003367003367003367,0.013468013468013467,0.0,0.04713804713804714,0.016835016835016835,0.003367003367003367,0.006734006734006734,0.013468013468013467,0.013468013468013467,0.006734006734006734,0.05723905723905724,0.016835016835016835,0.0,0.016835016835016835,0.05723905723905724,0.030303030303030304,0.006734006734006734,0.006734006734006734,0.006734006734006734,0.006734006734006734,0.0707070707070707,0.010101010101010102,0.07744107744107744,0.03367003367003367,0.11764705882352941,0.24915824915824916,0.2760942760942761
596242.txt,0.4502487562189055,0.7575637393767699,0.43532338308457713,0.7071823204419889,0.7314285714285714,0.2555066079295154,0.5117977528089888,0.7837837837837838,0.7037037037037037,0.8695652173913043,0.6363636363636364,0.1694915254237288,0.5583333333333333,0.03233830845771144,0.029850746268656716,0.0,0.022388059701492536,0.007462686567164179,0.03482587064676617,0.0472636815920398,0.0,0.014925373134328358,0.009950248756218905,0.004975124378109453,0.012437810945273632,0.12189054726368159,0.04228855721393035,0.009950248756218905,0.03233830845771144,0.05223880597014925,0.04477611940298507,0.01990049751243781,0.017412935323383085,0.022388059701492536,0.0024875621890547263,0.07213930348258707,0.022388059701492536,0.07960199004975124,0.05472636815920398,0.2972972972972973,0.19402985074626866,0.2462686567164179
603604.txt,0.46904315196998125,0.8014462809917341,0.6153846153846154,0.776,0.5914634146341463,0.28780487804878047,0.5184615384615389,0.5,0.7962962962962963,0.8333333333333334,0.8235294117647058,0.46153846153846156,0.5044642857142857,0.024390243902439025,0.0225140712945591,0.0,0.01876172607879925,0.001876172607879925,0.0300187617260788,0.020637898686679174,0.005628517823639775,0.01125703564727955,0.013133208255159476,0.0225140712945591,0.001876172607879925,0.11444652908067542,0.0225140712945591,0.009380863039399626,0.013133208255159476,0.03377110694183865,0.0375234521575985,0.020637898686679174,0.0075046904315197,0.0150093808630394,0.005628517823639775,0.058161350844277676,0.0075046904315197,0.05628517823639775,0.0225140712945591,0.05504587155963303,0.3320825515947467,0.3527204502814259
607016.txt,0.5375494071146245,0.7916666666666672,0.5217391304347826,0.7205882352941176,0.7424242424242424,0.33884297520661155,0.4836111111111113,0.7346938775510204,0.7027027027027027,0.7741935483870968,0.875,0.24242424242424243,0.5384615384615384,0.02766798418972332,0.023715415019762844,0.003952569169960474,0.007905138339920948,0.0,0.019762845849802372,0.023715415019762844,0.0,0.007905138339920948,0.003952569169960474,0.011857707509881422,0.003952569169960474,0.09090909090909091,0.019762845849802372,0.003952569169960474,0.015810276679841896,0.02766798418972332,0.015810276679841896,0.003952569169960474,0.003952569169960474,0.015810276679841896,0.003952569169960474,0.043478260869565216,0.007905138339920948,0.043478260869565216,0.039525691699604744,0.20408163265306123,0.21739130434782608,0.25691699604743085
613875.txt,0.5187637969094923,0.8326237623762348,0.5982339955849889,0.7872340425531915,0.6826568265682657,0.2857142857142857,0.527819548872181,0.6066666666666667,0.78,0.8297872340425532,0.8461538461538461,0.17647058823529413,0.5248618784530387,0.06181015452538632,0.05077262693156733,0.006622516556291391,0.011037527593818985,0.004415011037527594,0.05518763796909492,0.017660044150110375,0.002207505518763797,0.004415011037527594,0.019867549668874173,0.03532008830022075,0.002207505518763797,0.04415011037527594,0.01545253863134658,0.008830022075055188,0.006622516556291391,0.0684326710816777,0.04856512141280353,0.024282560706401765,0.002207505518763797,0.004415011037527594,0.006622516556291391,0.09713024282560706,0.008830022075055188,0.09492273730684327,0.026490066225165563,0.08,0.282560706401766,0.3068432671081678
