filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
214134.txt,1258,468,662,378,596,90,0.8076923076923077,0.5262321144674086,0.37201907790143085,13.194882661769661,0.8614583766018398,0.04469545073797727,0.786021505376343,0.7896000000000001,0.8331564191051793,75.51393646647536,79.85748917748919,80.0818759936407
221126.txt,359,168,173,110,186,58,0.6547619047619048,0.4818941504178273,0.467966573816156,8.866700874683561,0.8709303419151678,0.050514632896113826,0.8111612903225824,0.8057142857142857,0.8591549871201631,80.06625791974228,89.19122043074026,87.61281337047353
221131.txt,263,132,143,92,120,40,0.696969696969697,0.5437262357414449,0.5019011406844106,8.139468690912338,0.8762862430559957,0.051122321976842515,0.7555140186915886,0.76,0.8167627080475945,62.3862551159618,55.323593073593074,63.60836501901141
221617.txt,323,153,126,90,197,63,0.5882352941176471,0.39009287925696595,0.47368421052631576,8.513147726342256,0.8706716223081004,0.05154162589146084,0.7598540145985393,0.7666666666666666,0.8034152996570347,63.16944481009326,60.0737834224599,63.76470588235294
230049.txt,852,306,444,233,408,73,0.761437908496732,0.5211267605633803,0.3591549295774648,10.483387260361235,0.8482418238276209,0.05178682967681541,0.7679950186799486,0.7670588235294117,0.8002700663322895,65.66230642201526,62.363777353044426,62.759389671361504
235144.txt,334,169,146,110,188,59,0.650887573964497,0.437125748502994,0.5059880239520959,9.247268572281449,0.8827696180703632,0.04645093454167074,0.798596491228071,0.7933333333333333,0.8349047435479307,77.63370082144401,81.24955784819454,86.24850299401197
239919.txt,267,136,131,89,136,47,0.6544117647058824,0.49063670411985016,0.5093632958801498,8.323064834524622,0.8792619026092623,0.04975789699110621,0.7866972477064215,0.8,0.8299641222592047,72.37358917259121,74.95239069919765,78.90262172284645
244723.txt,409,184,168,120,241,64,0.6521739130434783,0.41075794621026895,0.44987775061124696,9.098214446388337,0.8671737224482318,0.05085771419374064,0.760666666666667,0.765,0.8018497273261099,59.17976583310525,58.964738054116296,59.87041564792176
249215.txt,230,130,125,96,105,34,0.7384615384615385,0.5434782608695652,0.5652173913043478,8.57194615414523,0.8950833877079686,0.04442366757591532,0.7908287292817677,0.7850000000000001,0.8349469634105194,79.36564298083906,75.20314273413956,76.59130434782608
249956.txt,242,137,139,101,103,36,0.7372262773722628,0.5743801652892562,0.5661157024793388,8.806693547505184,0.8963448250437812,0.043482887322352184,0.7934715025906732,0.7750000000000001,0.8342709729961408,91.74422248335293,82.58472222222221,84.85537190082644
251667.txt,327,153,132,94,195,59,0.6143790849673203,0.4036697247706422,0.46788990825688076,8.460919333222765,0.8688208161910177,0.052168102065351614,0.7661870503597128,0.7833333333333333,0.8073006755302099,66.50986800754242,59.22878099249898,60.49235474006116
257677.txt,304,132,136,89,168,43,0.6742424242424242,0.4473684210526316,0.4342105263157895,7.570719217728538,0.8540805078459467,0.05877040744940602,0.752627450980393,0.7633333333333333,0.7747149393146446,55.351292186074794,55.58700277520814,60.43092105263158
265877.txt,603,255,281,187,322,68,0.7333333333333333,0.4660033167495854,0.4228855721393035,10.384402770285945,0.865563139115772,0.04835306398201906,0.7622743682310451,0.7616666666666667,0.8091994134106268,64.13819824239889,65.0701254421471,67.0
265963.txt,385,185,170,120,215,65,0.6486486486486487,0.44155844155844154,0.4805194805194805,9.428473041596073,0.8768927342532122,0.04761521393140273,0.794345238095239,0.7971428571428572,0.831694786502583,72.1875,77.06815456782851,79.82077922077922
272358.txt,496,250,266,183,230,67,0.732,0.5362903225806451,0.5040322580645161,11.225331376673433,0.8896146575904048,0.04095199139076641,0.8244295302013408,0.8266666666666668,0.8619842707389236,104.68053453005771,100.58130699088146,104.20967741935483
